date	United States	South Korea	Italy	China
2020-06-18	25559.0	59.0	328.0	36.0
2020-06-19	27762.0	49.0	331.0	36.0
2020-06-20	29909.0	67.0	-148.0	30.0
2020-06-21	34158.0	48.0	264.0	29.0
2020-06-22	25793.0	17.0	224.0	19.0
2020-06-23	31390.0	46.0	221.0	52.0
2020-06-24	34720.0	51.0	113.0	29.0
2020-06-25	34339.0	28.0	577.0	20.0
2020-06-26	40949.0	39.0	296.0	28.0
2020-06-27	45527.0	51.0	255.0	24.0
2020-06-28	42486.0	62.0	175.0	18.0
2020-06-29	38673.0	42.0	174.0	14.0
2020-06-30	41556.0	43.0	126.0	23.0
2020-07-01	43880.0	50.0	142.0	5.0
2020-07-02	52048.0	54.0	182.0	31.0
2020-07-03	53399.0	63.0	201.0	14.0
2020-07-04	54442.0	63.0	223.0	9.0
2020-07-05	45221.0	61.0	235.0	18.0
2020-07-06	49093.0	0.0	192.0	14.0
2020-07-07	49990.0	90.0	208.0	25.0
2020-07-08	57473.0	63.0	137.0	21.0
2020-07-09	58906.0	49.0	193.0	33.0
2020-07-10	63004.0	45.0	214.0	46.0
2020-07-11	66625.0	35.0	276.0	40.0
2020-07-12	63051.0	44.0	188.0	35.0
2020-07-13	57258.0	62.0	234.0	46.0
2020-07-14	58114.0	33.0	169.0	55.0
2020-07-15	68518.0	39.0	114.0	54.0
2020-07-16	67717.0	61.0	162.0	20.0
2020-07-17	76930.0	60.0	230.0	77.0
2020-07-18	71494.0	39.0	231.0	80.0
2020-07-19	63749.0	34.0	249.0	80.0
2020-07-20	61796.0	26.0	218.0	130.0
2020-07-21	56750.0	45.0	190.0	84.0
2020-07-22	72048.0	63.0	128.0	74.0
2020-07-23	68848.0	59.0	280.0	135.0
2020-07-24	63196.0	41.0	306.0	139.0
2020-07-25	78427.0	113.0	252.0	157.0
2020-07-26	65498.0	58.0	274.0	179.0
2020-07-27	55993.0	25.0	254.0	189.0
2020-07-28	56243.0	28.0	168.0	213.0
2020-07-29	61734.0	48.0	202.0	207.0
2020-07-30	74985.0	18.0	288.0	223.0
2020-07-31	68032.0	36.0	382.0	276.0
2020-08-01	67023.0	31.0	379.0	166.0
2020-08-02	58407.0	0.0	295.0	172.0
2020-08-03	47511.0	53.0	238.0	158.0
2020-08-04	45607.0	34.0	159.0	114.0
2020-08-05	57525.0	33.0	190.0	107.0
2020-08-06	52804.0	43.0	384.0	122.0
2020-08-07	59755.0	20.0	401.0	132.0
2020-08-08	58150.0	43.0	552.0	120.0
2020-08-09	56221.0	36.0	347.0	92.0
2020-08-10	46847.0	28.0	463.0	121.0
